customer,recency,frequency,monetary,cluster,cluster_label
c2ae0a5bbzs,5,1,325.89,1,Cliente Prometedor
c2b0dc82bzs,21,1,1017.45,0,Clientes que Necesitan Atención
c2c0b0a5bzs,3,1,11370.62,1,Cliente Prometedor
c2c33182bzs,11,1,853.06,4,Cliente Perdido
c2c9bc89bzs,18,1,1496.17,0,Clientes que Necesitan Atención
c2cda64abzs,1,13,28191.100000000002,1,Cliente Prometedor
c2dfef86bzs,4,1,1189.66,1,Cliente Prometedor
c2e2fa96bzs,11,1,1427.32,4,Cliente Perdido
c2eca1debzs,24,1,2392.75,0,Clientes que Necesitan Atención
c2eeacd3bzs,7,1,3167.95,1,Cliente Prometedor
c30e911cbzs,21,1,3306.67,0,Clientes que Necesitan Atención
c333c169bzs,19,3,21401.3,0,Clientes que Necesitan Atención
c338c420bzs,9,5,14052.369999999999,4,Cliente Perdido
c33b3a17bzs,1,6,24975.379999999997,1,Cliente Prometedor
c354b16abzs,13,1,896.41,4,Cliente Perdido
c361f454bzs,21,1,469.88,0,Clientes que Necesitan Atención
c375bd53bzs,2,1,10665.46,1,Cliente Prometedor
c37e5a98bzs,14,1,1671.27,4,Cliente Perdido
c393ab36bzs,6,3,4675.17,1,Cliente Prometedor
c39a870ebzs,7,2,2526.71,1,Cliente Prometedor
c3ab0738bzs,8,4,5271.7,1,Cliente Prometedor
c3ad3247bzs,20,1,1329.06,0,Clientes que Necesitan Atención
c3bc4376bzs,4,1,463.76,1,Cliente Prometedor
c3cdb520bzs,24,1,703.46,0,Clientes que Necesitan Atención
c3e03fa2bzs,24,1,768.06,0,Clientes que Necesitan Atención
c3f256d1bzs,10,2,5194.18,4,Cliente Perdido
c405e60bbzs,14,4,35513.85,4,Cliente Perdido
c418a800bzs,13,1,1541.22,4,Cliente Perdido
c42d7bdcbzs,11,1,3280.83,4,Cliente Perdido
c4398d77bzs,22,1,1331.61,0,Clientes que Necesitan Atención
c43a5afebzs,3,2,2066.0099999999998,1,Cliente Prometedor
c43c16a6bzs,7,1,14394.75,1,Cliente Prometedor
c43cad06bzs,10,2,2876.23,4,Cliente Perdido
c43d6628bzs,4,2,20248.870000000003,1,Cliente Prometedor
c4436412bzs,14,1,2080.97,4,Cliente Perdido
c44a8cb6bzs,23,1,9458.97,0,Clientes que Necesitan Atención
c49b2188bzs,2,29,116005.28000000001,2,Cliente Leal
c4aab1ecbzs,21,1,739.16,0,Clientes que Necesitan Atención
c4ba459dbzs,21,1,1352.01,0,Clientes que Necesitan Atención
c4c275e0bzs,23,1,934.15,0,Clientes que Necesitan Atención
c4ca3a7dbzs,22,2,1010.99,0,Clientes que Necesitan Atención
c4d11548bzs,10,2,3710.59,4,Cliente Perdido
c4d1c0a1bzs,14,1,2387.99,4,Cliente Perdido
c4e7cbe6bzs,18,1,751.4,0,Clientes que Necesitan Atención
c4ebef69bzs,3,8,19216.46,1,Cliente Prometedor
c4fa6d41bzs,7,4,16190.630000000001,1,Cliente Prometedor
c5178c98bzs,12,1,2693.65,4,Cliente Perdido
c52a1ed5bzs,19,1,13442.58,0,Clientes que Necesitan Atención
c52ab43abzs,1,5,6267.05,1,Cliente Prometedor
c5358576bzs,11,1,742.9,4,Cliente Perdido
c578b879bzs,22,1,1549.04,0,Clientes que Necesitan Atención
c58178b4bzs,23,1,698.7,0,Clientes que Necesitan Atención
c5830e1fbzs,21,1,698.7,0,Clientes que Necesitan Atención
c58e8341bzs,3,1,1104.49,1,Cliente Prometedor
c5a4cff3bzs,1,7,7173.32,1,Cliente Prometedor
c5abced2bzs,8,1,1616.36,4,Cliente Perdido
c5ad8ea4bzs,21,1,715.87,0,Clientes que Necesitan Atención
c5bd3a86bzs,1,8,13324.6,1,Cliente Prometedor
c5d21106bzs,18,1,1580.83,0,Clientes que Necesitan Atención
c5ec5fecbzs,4,1,557.77,1,Cliente Prometedor
c5f339edbzs,3,1,2948.48,1,Cliente Prometedor
c607072abzs,24,1,6726.05,0,Clientes que Necesitan Atención
c61fd1f7bzs,5,1,609.96,1,Cliente Prometedor
c624c67ebzs,13,1,1382.44,4,Cliente Perdido
c6274f13bzs,17,1,677.28,0,Clientes que Necesitan Atención
c633aab6bzs,10,1,1678.75,4,Cliente Perdido
c643d05fbzs,1,1,11702.97,1,Cliente Prometedor
c64d71c6bzs,18,1,5561.38,0,Clientes que Necesitan Atención
c66c2894bzs,10,3,2565.13,4,Cliente Perdido
c672ab59bzs,15,1,888.59,4,Cliente Perdido
c67f32d2bzs,18,1,5461.08,0,Clientes que Necesitan Atención
c68756ecbzs,1,2,3740.5099999999998,1,Cliente Prometedor
c69649fcbzs,23,1,470.9,0,Clientes que Necesitan Atención
c6a48d74bzs,15,1,2661.69,4,Cliente Perdido
c6b3a442bzs,7,1,8051.03,1,Cliente Prometedor
c6daba9fbzs,10,1,213.69,4,Cliente Perdido
c6f4bdd7bzs,6,3,7033.07,1,Cliente Prometedor
c70a4423bzs,18,1,598.06,0,Clientes que Necesitan Atención
c71546ccbzs,20,1,682.55,0,Clientes que Necesitan Atención
c7444139bzs,15,2,27108.879999999997,4,Cliente Perdido
